Product Name,Price,Ratings
"Lenovo Thinkpad Yoga 11e Laptop 11.6"" Touchscreen Convertible Ultrabook PC, Intel Quad Core Processor, 128GB Solid State Drive, 4GB DDR3 RAM, HD Webcam, LED, HDMI, Bluetooth, Windows 10 (Renewed)",$184.89,4.3 out of 5 stars
"2019 HP 14“ Laptop (Intel Pentium Gold 2.3GHz, Dual Cores, 4GB DDR4 RAM, 128GB SSD, Wi-Fi, Bluetooth, HDMI, Windows 10 Home) (Ash Silver) (14-CF0012DX)",$239.50,3.6 out of 5 stars
"HP 15.6-Inch HD Touchscreen Laptop (Intel Pentium Silver N5000 1.1GHz, 4GB DDR4-2400 Memory, 1TB HDD, HDMI, HD Webcam, Win 10)",$296.99,3.3 out of 5 stars
"CUK MSI GF75 Thin Gamer Notebook (Intel i7-9750H, 32GB RAM, 1TB NVMe SSD + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, 17.3"" FHD 120Hz IPS-Level, Windows 10 Home) Gaming Laptop Computer","$1,259.99",4.3 out of 5 stars
"2019 Lenovo Thinkpad E590 15.6"" HD Business Laptop (Intel Quad Core i5-8265U, 16GB DDR4 Memory, 256GB PCIe 3.0(x4) NVMe SSD M.2 SSD) Type-C, HDMI, Ethernet, Webcam, Windows 10 Pro",$672.56,4.0 out of 5 stars
"2018 HP 15.6"" Business Laptop HD+ WLED-backlit Touchscreen Display Intel i3-7100U Processor 12GB DDR4 RAM 1TB HDD Intel 620 Graphics DVD-RW 802.11AC Wifi HDMI Windows 10-Black",$469.92,3.8 out of 5 stars
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"Acer Chromebook R 11 Convertible Laptop, Celeron N3060, 11.6"" HD Touch, 4GB DDR3L, 32GB eMMC, C738T-C7KD",$207.20,3.9 out of 5 stars
"Microsoft Surface Laptop 13.5"" 2256x1504 Touchscreen with Digital Pen, Core i5 Dual-Core up to 3.10 GHz, 8GB RAM, 256GB SSD, Webcam, Intel HD 620, Bluetooth, Win 10 - Burgundy (Renewed)",$609.99,4.2 out of 5 stars
"2017 HP 17.3"" Business Flagship Laptop PC HD+ WLED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD Intel 520 Graphics DVD-RW 802.11AC Wifi Webcam HDMI Windows 10-Silver",$412.00,3.9 out of 5 stars
"MSI GF63 Thin 9SCX-615 15.6"" Gaming Laptop, Intel Core i5-9300H, NVIDIA GTX 1050Ti, 8GB, 512GB NVMe SSD, Win10",$729.00,3.9 out of 5 stars
"2019 HP Pavilion Thinnest and Lightweight 13.3"" FHD IPS Ultra-Portable Laptop w/ Office Home & Student 2019 | Intel Quad Core i5-8265U (Newest) | 8GB RAM | 512GB SSD | Backlit Keyboard | Windows 10",$819.00,5.0 out of 5 stars
"Acer Swift 3 SF315 Laptop: Core i7-8550U, 256GB SSD, 8GB RAM, 15.6"" Full HD IPS Display, Windows 10 (Luxury Gold)",$608.87,4.2 out of 5 stars
"CHUWI HeroBook Laptop Computer Windows 10 PC, 14.1"" 1080P Display, Intel Atom X5-E8000 Quad Core, 4GB RAM/64GB eMMC and Extra 256GB SSD, 1TB M.2 SSD Slot, Thin and Lightweight",$229.99,3.7 out of 5 stars
"Oemgenuine Lenovo ThinkPad T470 Laptop Computer 14 Inch FHD Display 1920x1080, Intel Dual Core i5-6300U, 16GB RAM, 512GB SSD (PCIe-NVMe), W10P, Business Laptop",$699.95,5.0 out of 5 stars
"HP 2019 Premium Flagship Probook 450 G6 15.6 Full HD 1920x1080 Business Laptop, Intel 4-Core i7-8565U, Bluetooth, HDMI, Win 10 Pro, 16GB RAM, 512GB SSD w/ HESVAP Accessories",$895.00,4.8 out of 5 stars
"LG gram Laptop - 15.6"" Full HD Display, Intel 8th Gen Core I5, 8GB RAM, 256GB SSD, 21.5 HRs Battery - 15Z990-U.AAS5U1 (2019), Dark Silver",$946.99,4.3 out of 5 stars
"LG Gram 17Z990-R.AAS9U1 Thin and Light Laptop, 17"" (2560 X 1600) IPS Display, Intel 8th Gen Core i7, 16GB RAM, 1TB (512GB x 2) Nvme SSD, Up to 19.5 Hour Battery, Thunderbolt 3, Dark Silver","$1,799.99",4.4 out of 5 stars
"LG Gram 14T990-U.AAS8U1, 14” 2-in-1 Ultra-Lightweight Laptop with Intel Core i7 Processor and Wacom Pen, Silver","$1,199.99",4.2 out of 5 stars
"ASUS Chromebook C425 Clamshell Laptop, 14"" FHD 4-Way NanoEdge, Intel Core M3-8100Y Processor, 8GB RAM, 64GB eMMC Storage, Backlit KB, Silver, Chrome OS, C425TA-DH384",$379.99,3.8 out of 5 stars
"HP High Performance 15.6 inch HD Touchscreen Backlit Keyboard Laptop PC, 8th Gen Intel Core i5-8250U Quad-Core, 8GB DDR4, 2TB HDD + 128GB SSD, DVD RW, Bluetooth, WIFI, Windows 10",$569.16,4.2 out of 5 stars
"2019 Dell Premium Inspiron 15 3583 15.6 Inch FHD Laptop (Intel Core i7-8565U up to 4.6 GHz, 8GB RAM, 256GB SSD, Intel UHD Graphics 620, WiFi, Bluetooth, HDMI, Windows 10 Home)",$598.88,-1
"HP Chromebook 15-Inch Laptop, Micro-Edge Touchscreen, Dual-Core Intel Pentium Gold 4417U Gold Processor, 4 GB SDRAM, 64 GB eMMC Storage, Chrome OS (15-de0010nr, Ceramic White/Mineral Silver)",$369.00,4.2 out of 5 stars
"2019 ASUS 15.6"" High Performance Laptop Computer, AMD Quad-Core A12-9720P Processor up to 3.6GHz, 8GB DDR4 RAM, 128GB SSD, AMD Radeon R7 Graphics, WiFi, Bluetooth, USB 3.0, HDMI, Windows 10 Home",$350.01,3.7 out of 5 stars
"ASUS VivoBook 15 Ultraslim 15.6"" FHD (AMD Ryzen 5-3500U 2.1GHz, 8GB RAM, 512GB SSD, AMD Radeon Vega 8, Windows 10 64-Bit) Laptop Computer Bundle with McAfee Antivirus 1-Year, F512DA",$599.00,4.7 out of 5 stars
"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 16GB RAM, 512GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",$579.00,5.0 out of 5 stars
"Acer Aspire 1 A114-32-C1YA, 14"" Full HD, Intel Celeron N4000, 4GB DDR4, 64GB eMMC, Office 365 Personal, Windows 10 Home in S mode",$229.99,3.6 out of 5 stars
"2019 Newest HP Pavilion Business Flagship Laptop PC 15.6"" HD Touchscreen Display 8th Gen Intel i5-8250U Quad-Core Processor 12GB DDR4 RAM 1TB HDD Backlit-Keyboard Bluetooth B&O Audio Windows 10",$610.00,4.0 out of 5 stars
